City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Nola,IT,84.92,scattered clouds,40.922,14.5329,Pamaran Hotel
2,Rikitea,PF,74.98,light rain,-23.1203,-134.9692,People ThankYou
7,Nogliki,RU,70.99,overcast clouds,51.8333,143.1667,"Hotel ""Nogliki"""
9,Mumford,GH,75.58,overcast clouds,5.2618,-0.759,Spanish Villa
13,Pochutla,MX,81.45,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
14,Kropotkin,RU,72.1,overcast clouds,45.4375,40.5756,Hotel Europe Kropotkin
17,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
18,Khatanga,RU,72.72,overcast clouds,71.9667,102.5,"Gostinitsa ""Zapolyar'ye"""
19,Ouesso,CG,73.54,overcast clouds,1.6136,16.0517,ABENIE Hotel
21,San Patricio,US,84.04,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
24,Atuona,PF,77.47,scattered clouds,-9.8,-139.0333,Villa Enata
30,Alyangula,AU,78.78,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
32,La Palma,US,80.96,overcast clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
34,The Valley,AI,82.09,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
38,Hithadhoo,MV,81.21,overcast clouds,-0.6,73.0833,Scoop Guest House
41,Butaritari,KI,82.44,light rain,3.0707,172.7902,Isles Sunset Lodge
44,Vila Franca Do Campo,PT,70.21,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
45,Faanui,PF,78.37,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
47,Basco,PH,83.08,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
48,Kontagora,NG,70.12,light rain,10.3999,5.4695,Queens Guest Inn
49,Taft,IR,82.35,haze,31.7471,54.2088,بوم گردی حاجی زینل تفت
52,Tabou,CI,75.31,light rain,4.423,-7.3528,hotêl doufoulougou
57,Carnarvon,AU,73.47,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
59,Bengkulu,ID,83.82,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
60,Altamira,BR,73.26,scattered clouds,-3.2033,-52.2064,Requinte Hotel
62,Mareeba,AU,76.44,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
67,Hervey Bay,AU,73.51,clear sky,-25.2986,152.8535,Shelly Bay Resort
69,Lagoa,PT,70.9,overcast clouds,39.05,-27.9833,Casa Das Faias
70,Portland,US,84.78,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
73,Hilo,US,76.73,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
74,Graham,US,79.25,clear sky,47.0529,-122.2943,Moxie Meadows Hostel
75,Ribeira Grande,PT,71.11,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
78,Nyurba,RU,84.22,clear sky,63.2842,118.3319,Gostinitsa Alrosa
79,Zhangye,CN,82.13,overcast clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
83,Verkhnevilyuysk,RU,81.23,few clouds,63.4453,120.3167,Gostinitsa Mila
86,Port Keats,AU,84.76,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
88,Bagdarin,RU,70.92,few clouds,54.4333,113.6,Gostevoy Dom Terem
