City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Nola,IT,40.922,14.5329,84.92,27,48,1.57,scattered clouds
1,Hermanus,ZA,-34.4187,19.2345,52.9,65,2,11.01,clear sky
2,Rikitea,PF,-23.1203,-134.9692,74.98,81,98,18.41,light rain
3,Port Alfred,ZA,-33.5906,26.891,61.45,31,30,11.21,scattered clouds
4,Aksu,CN,41.1231,80.2644,93.18,16,1,7.63,clear sky
5,Mataura,NZ,-46.1927,168.8643,52.48,70,13,4.74,few clouds
6,Santa Maria,BR,-29.6842,-53.8069,56.23,96,100,8.39,overcast clouds
7,Nogliki,RU,51.8333,143.1667,70.99,84,100,8.66,overcast clouds
8,Labytnangi,RU,66.6572,66.4183,53.29,76,77,10.42,broken clouds
9,Mumford,GH,5.2618,-0.759,75.58,77,98,11.99,overcast clouds
10,Oyem,GA,1.5995,11.5793,66.67,98,99,2.95,overcast clouds
11,Klyuchi,RU,52.2667,79.1667,66.67,46,11,8.77,few clouds
12,Chokurdakh,RU,70.6333,147.9167,45.05,63,100,13.29,overcast clouds
13,Pochutla,MX,15.7432,-96.4661,81.45,93,100,3.94,overcast clouds
14,Kropotkin,RU,45.4375,40.5756,72.1,59,100,14.88,overcast clouds
15,Ushuaia,AR,-54.8,-68.3,33.46,93,75,4.61,broken clouds
16,Nyagan,RU,62.1406,65.3936,52.81,91,95,5.39,light rain
17,Vaini,TO,-21.2,-175.2,77.16,78,75,12.66,broken clouds
18,Khatanga,RU,71.9667,102.5,72.72,52,99,18.72,overcast clouds
19,Ouesso,CG,1.6136,16.0517,73.54,76,97,2.37,overcast clouds
20,Norman Wells,CA,65.282,-126.8329,63.59,55,99,3.58,overcast clouds
21,San Patricio,US,28.017,-97.5169,84.04,70,3,8.66,clear sky
22,Saint-Philippe,RE,-21.3585,55.7679,65.79,84,83,9.15,light rain
23,Sitka,US,57.0531,-135.33,64.29,63,40,0.0,scattered clouds
24,Atuona,PF,-9.8,-139.0333,77.47,75,36,21.59,scattered clouds
25,Albany,US,42.6001,-73.9662,69.93,83,0,4.12,clear sky
26,Barcelos,PT,41.5388,-8.6151,63.91,91,3,3.15,clear sky
27,Nanortalik,GL,60.1432,-45.2371,45.3,88,67,11.16,broken clouds
28,Nikolskoye,RU,59.7035,30.7861,66.79,70,7,3.6,clear sky
29,New Norfolk,AU,-42.7826,147.0587,60.93,60,58,5.01,broken clouds
30,Alyangula,AU,-13.8483,136.4192,78.78,70,66,1.88,broken clouds
31,Baie-Comeau,CA,49.2168,-68.1489,64.09,98,97,3.91,overcast clouds
32,La Palma,US,33.8464,-118.0467,80.96,78,90,5.01,overcast clouds
33,Busselton,AU,-33.65,115.3333,55.04,57,96,25.19,overcast clouds
34,The Valley,AI,18.217,-63.0578,82.09,75,98,18.23,overcast clouds
35,Guerrero Negro,MX,27.9769,-114.0611,68.88,80,0,15.73,clear sky
36,Qaanaaq,GL,77.484,-69.3632,42.21,87,100,9.37,light rain
37,Terrace Bay,CA,48.7834,-87.1,62.22,74,100,11.07,overcast clouds
38,Hithadhoo,MV,-0.6,73.0833,81.21,73,100,5.21,overcast clouds
39,Bambous Virieux,MU,-20.3428,57.7575,67.21,77,75,14.25,light rain
40,Pevek,RU,69.7008,170.3133,36.46,88,86,18.61,overcast clouds
41,Butaritari,KI,3.0707,172.7902,82.44,74,41,5.88,light rain
42,San Juan,AR,-31.5375,-68.5364,48.63,45,0,8.37,clear sky
43,Punta Arenas,CL,-53.15,-70.9167,39.31,87,75,6.91,broken clouds
44,Vila Franca Do Campo,PT,37.7167,-25.4333,70.21,92,94,4.97,overcast clouds
45,Faanui,PF,-16.4833,-151.75,78.37,76,53,9.89,light rain
46,Lebedinyy,RU,58.5167,125.5167,69.46,64,76,1.92,broken clouds
47,Basco,PH,20.4487,121.9702,83.08,86,100,25.14,overcast clouds
48,Kontagora,NG,10.3999,5.4695,70.12,98,100,4.32,light rain
49,Taft,IR,31.7471,54.2088,82.35,20,75,6.91,haze
50,Quelimane,MZ,-17.8786,36.8883,59.99,94,17,4.7,light rain
51,Saldanha,ZA,-33.0117,17.9442,55.22,91,0,9.95,clear sky
52,Tabou,CI,4.423,-7.3528,75.31,81,100,8.61,light rain
53,Maniitsoq,GL,65.4167,-52.9,51.84,78,100,14.81,overcast clouds
54,Ancud,CL,-41.8697,-73.8203,42.33,80,26,4.7,scattered clouds
55,Opotiki,NZ,-38.0833,177.2833,58.39,81,99,6.73,overcast clouds
56,Skjervoy,NO,70.0311,20.9714,50.14,95,81,2.48,broken clouds
57,Carnarvon,AU,-24.8667,113.6333,73.47,58,40,14.97,scattered clouds
58,Nakatunguru,TZ,-2.1167,33.0667,69.06,54,98,20.24,overcast clouds
59,Bengkulu,ID,-3.8004,102.2655,83.82,57,15,1.54,few clouds
60,Altamira,BR,-3.2033,-52.2064,73.26,68,40,1.88,scattered clouds
61,Cape Town,ZA,-33.9258,18.4232,57.88,84,2,3.0,clear sky
62,Mareeba,AU,-17.0,145.4333,76.44,64,70,5.91,broken clouds
63,Mamou,GN,10.5,-12.0,67.84,99,98,2.62,light rain
64,Cidreira,BR,-30.1811,-50.2056,62.35,98,100,8.95,moderate rain
65,Carballo,ES,43.213,-8.691,63.86,94,39,1.83,scattered clouds
66,Iqaluit,CA,63.7506,-68.5145,47.7,87,100,1.86,overcast clouds
67,Hervey Bay,AU,-25.2986,152.8535,73.51,64,0,3.04,clear sky
68,Arraial Do Cabo,BR,-22.9661,-42.0278,69.94,85,0,25.08,clear sky
69,Lagoa,PT,39.05,-27.9833,70.9,86,100,13.0,overcast clouds
70,Portland,US,45.5234,-122.6762,84.78,49,20,1.01,few clouds
71,Yellowknife,CA,62.456,-114.3525,59.32,59,99,3.0,overcast clouds
72,Ilulissat,GL,69.2167,-51.1,45.1,90,99,6.89,overcast clouds
73,Hilo,US,19.7297,-155.09,76.73,89,90,10.36,moderate rain
74,Graham,US,47.0529,-122.2943,79.25,48,1,0.0,clear sky
75,Ribeira Grande,PT,38.5167,-28.7,71.11,88,95,9.08,overcast clouds
76,Poso,ID,-1.3959,120.7524,87.57,52,83,1.9,broken clouds
77,Jamestown,US,42.097,-79.2353,69.51,77,1,4.23,clear sky
78,Nyurba,RU,63.2842,118.3319,84.22,47,0,5.75,clear sky
79,Zhangye,CN,38.9342,100.4517,82.13,22,100,5.61,overcast clouds
80,Bluff,NZ,-46.6,168.3333,52.81,71,22,21.34,few clouds
81,Port Macquarie,AU,-31.4333,152.9167,68.9,47,1,8.37,clear sky
82,Faya,SA,18.3851,42.4509,64.94,73,81,3.31,broken clouds
83,Verkhnevilyuysk,RU,63.4453,120.3167,81.23,46,13,6.44,few clouds
84,Cabo San Lucas,MX,22.8909,-109.9124,89.51,72,1,5.99,clear sky
85,Kavieng,PG,-2.5744,150.7967,85.12,65,43,4.32,scattered clouds
86,Port Keats,AU,-14.25,129.55,84.76,54,62,7.47,broken clouds
87,Arua,UG,3.0201,30.9111,63.46,86,97,1.25,overcast clouds
88,Bagdarin,RU,54.4333,113.6,70.92,44,14,9.8,few clouds
89,Ponta Do Sol,PT,32.6667,-17.1,74.03,71,1,4.83,clear sky
90,East London,ZA,-33.0153,27.9116,65.01,27,6,12.77,clear sky
91,Gat,IL,31.61,34.7642,77.4,86,0,3.78,clear sky
92,Sao Filipe,CV,14.8961,-24.4956,74.77,86,25,8.84,scattered clouds
93,Tuktoyaktuk,CA,69.4541,-133.0374,46.44,74,100,10.49,overcast clouds
94,Inta,RU,66.0317,60.1659,44.24,94,100,8.08,overcast clouds
95,Mahanoro,MG,-19.9,48.8,60.37,86,18,9.51,few clouds
96,Santa Luzia,BR,-19.7697,-43.8514,61.7,77,0,3.36,clear sky
97,Souillac,MU,-20.5167,57.5167,67.35,82,90,13.47,light rain
98,Grosseto,IT,42.8333,11.25,79.29,76,100,3.31,overcast clouds
99,Kamir,PK,30.4333,73.05,95.23,48,90,15.03,overcast clouds
100,Kapaa,US,22.0752,-159.319,84.52,76,1,3.0,clear sky
101,Tasiilaq,GL,65.6145,-37.6368,35.08,89,27,5.61,scattered clouds
102,Tiruchchendur,IN,8.4833,78.1167,84.49,68,100,10.07,overcast clouds
103,Idaho Falls,US,43.4666,-112.0341,84.63,42,1,0.0,smoke
104,Ballina,AU,-28.8667,153.5667,71.78,43,0,4.94,clear sky
105,Playas,EC,-2.6333,-80.3833,70.99,88,6,7.14,clear sky
106,Te Anau,NZ,-45.4167,167.7167,48.63,70,33,5.68,scattered clouds
107,College Place,US,46.0493,-118.3883,89.42,42,1,3.44,smoke
108,Saint-Joseph,RE,-21.3667,55.6167,64.78,82,42,11.36,light rain
109,Provideniya,RU,64.3833,-173.3,50.11,81,90,11.18,moderate rain
110,Bethel,US,41.3712,-73.414,74.62,85,1,5.75,mist
111,Sangar,RU,63.9242,127.4739,76.84,33,22,14.05,few clouds
112,Saskylakh,RU,71.9167,114.0833,60.67,58,98,9.08,overcast clouds
113,Ahipara,NZ,-35.1667,173.1667,57.9,68,3,16.15,clear sky
